iter	Passed	Remaining
768	3293	989
769	3296	984
770	3301	980
771	3305	976
772	3309	971
773	3313	967
774	3317	963
775	3321	958
776	3326	954
777	3329	950
778	3334	945
779	3338	941
780	3342	937
781	3348	933
782	3352	929
783	3356	924
784	3360	920
785	3364	916
786	3374	913
787	3378	908
788	3382	904
789	3386	900
790	3390	895
791	3394	891
792	3397	886
793	3401	882
794	3406	878
795	3409	873
796	3414	869
797	3419	865
798	3422	861
799	3427	856
800	3431	852
801	3436	848
802	3440	844
803	3443	839
804	3447	835
805	3452	830
806	3456	826
807	3460	822
808	3464	818
809	3468	813
810	3472	809
811	3476	804
812	3480	800
813	3484	796
814	3489	792
815	3493	787
816	3497	783
817	3501	779
818	3505	774
819	3509	770
820	3513	766
821	3517	761
822	3521	757
823	3526	753
824	3530	748
825	3534	744
826	3537	740
827	3542	735
828	3546	731
829	3550	727
830	3554	722
831	3558	718
832	3562	714
833	3566	709
834	3570	705
835	3575	701
836	3578	696
837	3582	692
838	3586	688
839	3590	683
840	3595	679
841	3599	675
842	3603	671
843	3606	666
844	3610	662
845	3614	657
846	3618	653
847	3622	649
848	3626	644
849	3630	640
850	3634	636
851	3638	632
852	3642	627
853	3646	623
854	3650	619
855	3654	614
856	3658	610
857	3662	606
858	3666	601
859	3670	597
860	3674	593
861	3678	588
862	3682	584
863	3686	580
864	3690	575
865	3694	571
866	3698	567
867	3702	563
868	3706	558
869	3710	554
870	3714	550
871	3718	545
872	3722	541
873	3726	537
874	3730	532
875	3734	528
876	3738	524
877	3742	520
878	3746	515
879	3750	511
880	3754	507
881	3758	502
882	3762	498
883	3766	494
884	3770	489
885	3775	485
886	3778	481
887	3783	477
888	3787	472
889	3791	468
890	3795	464
891	3799	459
892	3803	455
893	3807	451
894	3811	447
895	3815	442
896	3818	438
897	3822	434
898	3826	429
899	3830	425
900	3834	421
901	3838	417
902	3842	412
903	3846	408
904	3850	404
905	3854	399
906	3858	395
907	3862	391
908	3866	387
909	3870	382
910	3875	378
911	3879	374
912	3883	370
913	3887	365
914	3891	361
915	3895	357
916	3898	352
917	3903	348
918	3907	344
919	3911	340
920	3915	335
921	3920	331
922	3923	327
923	3927	323
924	3931	318
925	3936	314
926	3940	310
927	3944	306
928	3948	301
929	3952	297
930	3956	293
931	3960	288
932	3964	284
933	3967	280
934	3971	276
935	3975	271
