iter	RMSE
538	11128.03379
539	11119.21501
540	11108.257
541	11098.51619
542	11087.66634
543	11079.30336
544	11069.52574
545	11062.22833
546	11047.42456
547	11039.67824
548	11024.70555
549	11008.0463
550	10988.77377
551	10976.26901
552	10964.87155
553	10951.42001
554	10946.94564
555	10936.94577
556	10919.65269
557	10915.88109
558	10906.24843
559	10898.20553
560	10894.07787
561	10892.35595
562	10891.37468
563	10878.84811
564	10877.25619
565	10870.6694
566	10850.46293
567	10840.8532
568	10833.57641
569	10831.46097
570	10823.22456
571	10817.96103
572	10812.19605
573	10803.02106
574	10791.3577
575	10773.48974
576	10763.21284
577	10755.47123
578	10754.26094
579	10745.8337
580	10738.64261
581	10726.92591
582	10722.71801
583	10708.9059
584	10697.83381
585	10685.39578
586	10670.41986
587	10669.76286
588	10658.21981
589	10657.45331
590	10646.85242
591	10636.17355
592	10622.6783
593	10621.96393
594	10608.38091
595	10599.4389
596	10588.26114
597	10586.84595
598	10580.3436
599	10557.29975
600	10548.63411
601	10547.91723
602	10536.37901
603	10527.91207
604	10516.22755
605	10506.84308
606	10496.83973
607	10484.75708
608	10474.58203
609	10464.09905
610	10454.87869
611	10450.08861
612	10441.55516
613	10422.75575
614	10414.48351
615	10408.29405
616	10407.63843
617	10395.25688
618	10394.62523
619	10382.77015
620	10368.26969
621	10367.6882
622	10358.98995
623	10348.40711
624	10347.89778
625	10335.94496
626	10329.43367
627	10314.85881
628	10306.70934
629	10301.30454
630	10290.82284
631	10278.10393
632	10267.33225
633	10265.70351
634	10254.29075
635	10243.94229
636	10243.20924
637	10238.19044
638	10228.49118
639	10223.75869
640	10215.31451
641	10211.71245
642	10211.16351
643	10201.16327
644	10190.93899
645	10172.84039
646	10161.2731
647	10150.58704
648	10140.89653
649	10135.0889
650	10117.17184
651	10108.41259
652	10096.98483
653	10085.00766
654	10075.00119
655	10066.56658
656	10066.03277
657	10056.11561
658	10045.21439
659	10041.52102
660	10027.98246
661	10020.74626
662	10013.23351
663	10012.19901
664	10005.05456
665	9999.053649
666	9993.236344
667	9984.867669
668	9983.14622
669	9971.174714
670	9955.348878
671	9954.503076
672	9942.148062
673	9933.136163
674	9920.019636
675	9910.025323
676	9901.620824
677	9889.445072
678	9880.912155
679	9867.382226
680	9862.461133
681	9852.932681
682	9840.841983
683	9834.951148
684	9830.158793
685	9824.501348
686	9815.511779
687	9808.084093
688	9794.088398
689	9784.720999
690	9772.989941
691	9761.439511
692	9750.663782
693	9744.021529
694	9736.943242
695	9729.84534
696	9723.790156
697	9714.300184
698	9713.592602
699	9704.322415
700	9703.814017
701	9689.434276
702	9675.043004
703	9665.670806
704	9663.210603
705	9651.313398
706	9641.672681
707	9630.389095
708	9620.167308
709	9610.868492
710	9610.116655
711	9602.436537
712	9594.781141
713	9585.725825
714	9577.367915
715	9566.808085
716	9558.922284
717	9553.257498
718	9547.361561
719	9536.809598
720	9526.363085
721	9520.891738
722	9508.398015
723	9503.605905
724	9500.852319
725	9494.354493
726	9482.048511
727	9477.234448
728	9465.250936
729	9459.250281
730	9449.258206
731	9439.887593
732	9439.451656
733	9424.995238
734	9415.845683
735	9411.129203
736	9398.47232
737	9386.685832
738	9381.409065
739	9368.675389
740	9365.976732
741	9362.939853
742	9353.522161
743	9340.824434
744	9333.12471
745	9332.683434
746	9326.744793
747	9319.674268
748	9311.484162
749	9295.573134
750	9294.413417
751	9284.472001
752	9274.720495
753	9268.921659
754	9258.612284
755	9248.926166
756	9240.279605
757	9231.818885
758	9224.584822
759	9216.271325
760	9203.881127
761	9190.452694
762	9184.023323
763	9182.017825
764	9178.490515
765	9176.449557
766	9160.815393
767	9155.79139
768	9147.716446
769	9143.48284
770	9137.18942
771	9120.172179
772	9109.561734
773	9098.888153
774	9093.698095
775	9093.345262
776	9081.035059
777	9076.878724
778	9064.109829
779	9054.190642
780	9047.452473
781	9035.343435
782	9028.718158
783	9022.414766
784	9014.133591
785	9006.994233
786	8991.946079
787	8986.129736
788	8985.69785
789	8981.203051
790	8973.529759
791	8966.61528
792	8959.010949
793	8952.364043
794	8944.174034
795	8936.803935
796	8935.767465
797	8925.056782
798	8917.820232
799	8903.104636
800	8900.15955
801	8895.620726
802	8887.930091
803	8887.560185
804	8878.128089
805	8870.987456
806	8860.098728
807	8856.071431
808	8844.871701
809	8836.248739
810	8826.471051
811	8820.342746
812	8820.049765
813	8810.773048
814	8804.705298
815	8799.297885
816	8795.512707
817	8787.424577
818	8772.877066
819	8762.272536
820	8756.950934
821	8752.672919
822	8746.337926
823	8735.705761
824	8727.985229
825	8720.485822
826	8709.765522
827	8701.626688
828	8690.822841
829	8690.039711
830	8679.28173
831	8671.566622
832	8671.234313
833	8660.48519
834	8655.372587
835	8649.322938
836	8643.017624
837	8640.934595
838	8639.087671
839	8636.692491
840	8626.505344
841	8616.34705
842	8606.718634
843	8605.045786
844	8597.580166
845	8590.518562
846	8579.690651
847	8574.651707
848	8568.379706
849	8556.861217
850	8548.183958
851	8539.401406
852	8529.780217
853	8525.490224
854	8520.313012
855	8516.220814
856	8503.452619
857	8495.503444
858	8490.971492
859	8480.911769
860	8474.054344
861	8469.051058
862	8457.90204
863	8450.655486
864	8442.581827
865	8441.822676
866	8434.978339
867	8430.840255
868	8423.786906
869	8414.443202
870	8403.775041
871	8394.394417
872	8392.114364
873	8383.74137
874	8371.411151
875	8364.970015
876	8355.901476
877	8347.316217
878	8340.855014
879	8339.775505
880	8337.308827
881	8328.97846
882	8318.537053
883	8309.022057
884	8302.557358
885	8293.237468
886	8285.551887
887	8281.938219
888	8276.866976
889	8269.321559
890	8266.888972
891	8254.787308
892	8253.422166
893	8248.260919
894	8242.69759
895	8233.682712
896	8233.329051
897	8224.932061
898	8218.451088
899	8206.826965
900	8202.160466
901	8191.851791
902	8187.153974
903	8182.965966
904	8177.892866
905	8169.403002
906	8159.620512
907	8159.301595
908	8151.825967
909	8146.030309
910	8136.52401
911	8126.008016
912	8121.911422
913	8121.462798
914	8109.304076
915	8100.953408
916	8093.963597
917	8085.866679
918	8078.689976
919	8068.626103
920	8062.293212
921	8061.335164
922	8059.25414
923	8050.780627
924	8044.618366
925	8041.133737
926	8029.2128
927	8024.994494
928	8015.566624
929	8008.787932
930	8001.605376
931	7993.670623
932	7993.38619
933	7986.895381
934	7978.215955
935	7969.191776
936	7964.144661
937	7959.061231
938	7953.407867
939	7946.827936
940	7943.445345
941	7937.303532
942	7933.239116
943	7920.806209
944	7920.007628
945	7912.195791
946	7906.152346
947	7901.162825
948	7887.805328
949	7881.578144
950	7876.836182
951	7871.454758
952	7863.888764
953	7855.360641
954	7850.057273
955	7848.730376
956	7840.036632
957	7832.710249
958	7827.515121
959	7822.274565
960	7817.216624
961	7815.449002
962	7815.120314
963	7810.468516
964	7804.53177
965	7797.470014
966	7788.952611
967	7784.269413
968	7780.782679
969	7777.102793
970	7767.719669
971	7758.615694
972	7756.350008
973	7750.280669
974	7740.45439
975	7731.665356
976	7731.279241
977	7725.275522
978	7713.201828
979	7706.214647
980	7704.917423
981	7696.466344
982	7690.461835
983	7686.33262
984	7686.074304
985	7677.577677
986	7676.12155
987	7668.927242
988	7654.261117
989	7647.175722
990	7641.988725
991	7638.113416
992	7628.960994
993	7619.739249
994	7619.283581
995	7614.891375
996	7609.290651
997	7600.826638
998	7597.816794
999	7591.468044
