iter	Passed	Remaining
897	4048	459
898	4052	455
899	4056	450
900	4060	446
901	4064	441
902	4067	436
903	4072	432
904	4075	427
905	4079	423
906	4083	418
907	4087	414
908	4091	409
909	4095	405
910	4099	400
911	4104	396
912	4107	391
913	4111	386
914	4115	382
915	4119	377
916	4139	374
917	4143	370
918	4147	365
919	4151	360
920	4155	356
921	4158	351
922	4162	347
923	4166	342
924	4171	338
925	4175	333
926	4180	329
927	4184	324
928	4188	320
929	4192	315
930	4196	311
931	4200	306
932	4204	301
933	4208	297
934	4212	292
935	4216	288
936	4221	283
937	4224	279
938	4228	274
939	4232	270
940	4236	265
941	4240	261
942	4244	256
943	4248	252
944	4252	247
945	4256	242
946	4260	238
947	4264	233
948	4267	229
949	4271	224
950	4275	220
951	4280	215
952	4283	211
953	4287	206
954	4291	202
955	4296	197
956	4300	193
957	4304	188
958	4308	184
959	4312	179
960	4315	175
961	4321	170
962	4325	166
963	4329	161
964	4333	157
965	4338	152
966	4343	148
967	4349	143
968	4354	139
969	4359	134
970	4363	130
971	4368	125
972	4373	121
973	4378	116
974	4383	112
975	4387	107
976	4394	103
977	4398	98
978	4404	94
979	4409	89
980	4415	85
981	4420	81
982	4425	76
983	4430	72
984	4434	67
985	4440	63
986	4444	58
987	4450	54
988	4454	49
989	4458	45
990	4464	40
991	4468	36
992	4474	31
993	4478	27
994	4483	22
995	4487	18
996	4492	13
997	4495	9
998	4500	4
999	4504	0
